code,movie_tile,lat_lon
,Select the movie,
t0111161,The Shawshank Redemption,"{'127A Smithfield Road, Frederiksted, Virgin Islands ': ['17.712475', '-64.881535'], 'Mansfield Reformatory - 100 Reformatory Road, Mansfield, Ohio, USA ': ['40.784215', '-82.502481'], 'Butler, Ohio, USA ': ['40.588393', '-82.424886'], 'Sandy Point, St. Croix, U.S. Virgin Islands ': ['17.69192', '-64.880424'], 'Malabar Farm State Park - 4050 Bromfield Road, Lucas, Ohio, USA ': ['40.652587', '-82.398487'], 'Wyandot County Courthouse, Upper Sandusky, Ohio, USA ': ['40.827129', '-83.280781'], 'Ashland, Ohio, USA ': ['40.8686675', '-82.3182178'], 'Mansfield, Ohio, USA ': ['40.75839', '-82.5154471'], '193 North Main Street, Mansfield, Ohio, USA ': ['40.763675', '-82.515497'], 'Snyder Road and Hagerman Road, Bellville, Ohio, USA ': ['40.616447', '-82.429021'], 'Upper Sandusky, Ohio, USA ': ['40.8272785', '-83.2813089'], 'Yuma, Arizona, USA ': ['32.6926512', '-114.6276916'], 'Rod Bay, St Croix, USVI ': ['17.733587', '-64.614763'], '301 E 5th Street, Mansfield, Ohio, USA ': ['40.763047', '-82.505694'], 'Bellville, Ohio, USA ': ['40.620059', '-82.510722'], 'Sandusky, Ohio, USA ': ['41.4489396', '-82.70796050000001'], 'Ohio, USA ': ['40.4172871', '-82.907123'], 'Arizona, USA ': ['34.0489281', '-111.09373110000001'], 'Mansfield, Shelby, Ohio, USA ': ['40.868984', '-82.644632'], 'USA ': ['44.427963', '-110.58845500000001']}"
t0068646,The Godfather,"{""Forza d'Agrò, Messina, Sicily, Italy "": ['37.915073', '15.334769'], '110 Longfellow Road, Staten Island, New York City, New York, USA ': ['40.606498', '-74.097889'], ""Old St Patrick's Cathedral - 264 Mulberry Street, Little Italy, Manhattan, New York City, New York, USA "": ['40.723942', '-73.995241'], 'Mitchell Field, Garden City, Long Island, New York, USA ': ['40.728918', '-73.601583'], '3531 White Plains Road, Bronx, New York City, New York, USA ': ['40.878389', '-73.866444'], ""Jack Dempsey's Restaurant - Broadway & 49th Street, Manhattan, New York City, New York, USA "": ['40.760802', '-73.984521'], 'Savoca, Sicily, Italy ': ['37.955758', '15.33963'], '1011 North Beverly Drive, Beverly Hills, California, USA ': ['34.088974', '-118.413843'], '5th Avenue, Manhattan, New York City, New York, USA ': ['40.774734', '-73.965384'], 'Castello Degli Schiavi, Fiumefreddo di Sicilia, Catania, Sicily, Italy ': ['37.791449', '15.20193'], 'NY Eye and Ear Infirmary, 2nd Avenue & East 13th Street, New York City, New York, USA ': ['40.731728', '-73.985069'], 'Church of St. Joachim and St. Anne on the grounds of The Mission of the Immaculate Virgin at Mount Loretto, Staten Island, New York City, New York, USA ': ['40.519324', '-74.220287'], '120 Longfellow Road, Emerson Hill, Staten Island, New York City, New York, USA ': ['40.606769', '-74.097614'], '""Old"" Lincoln Hospital, Southern Blvd. and East 141 Street, Bronx, New York, USA ': ['40.816086', '-73.924776'], 'Mott Street, Manhattan, New York City, New York, USA ': ['40.719047', '-73.996484'], 'Fieldstone Mansion, Riverdale, Bronx, New York City, New York, USA ': ['40.837995', '-73.869332'], '1 Allen Ave, Ross, California, USA ': ['37.961783', '-122.558826'], 'Sands Point, Long Island, New York, USA ': ['40.851767', '-73.718742'], 'Calvary Cemetery, Woodside, Queens, New York City, New York, USA ': ['40.735223', '-73.913595'], 'St Regis-Sheraton Hotel - 2 East 55th Street, Fifth Avenue, Manhattan, New York City, New York, USA ': ['40.761422', '-73.974769'], 'Staten Island, New York City, New York, USA ': ['40.5795317', '-74.15020070000003'], '1999 East 5th Street Brooklyn, New York City, New York, USA ': ['40.601718', '-73.967323'], '59th Street Bridge, Manhattan, New York City, New York, USA ': ['40.756956', '-73.954607'], 'Federal Reserve Bank - 33 Liberty Street, Financial District, Manhattan, New York City, New York, USA ': ['40.708366', '-74.008653'], 'Queensboro Bridge, Manhattan, New York City, New York, USA ': ['40.756732', '-73.954224'], 'Radio City Music Hall - 1260 6th Avenue, Rockefeller Center, Manhattan, New York City, New York, USA ': ['40.759976', '-73.979977'], 'Little Italy, Manhattan, New York City, New York, USA ': ['40.719141', '-73.997327'], 'Sicily, Italy ': ['37.599994', '14.015356'], 'Las Vegas, Nevada, USA ': ['36.1699412', '-115.1398296'], 'Los Angeles, California, USA ': ['34.0522342', '-118.2436849'], 'Woodside, Queens, New York City, New York, USA ': ['40.751212', '-73.903649'], 'Liberty State Park - Morris Pesin Drive, Jersey City, New Jersey, USA ': ['40.703966', '-74.050431'], 'Filmways Studios - 246 East 127th Street, East Harlem, Manhattan, New York City, New York, USA ': ['40.804174', '-73.933507'], 'Santo Domingo, Dominican Republic ': ['18.466667', '-69.94999999999999'], 'Hollywood United Methodist Church - 6817 Franklin Avenue, Hollywood, Los Angeles, California, USA ': ['34.104398', '-118.338848'], ""The Basilica of St. Patrick's Old Cathedral, 263 Mulberry St, New York, NY 10012, United States "": ['40.723368', '-73.995062'], 'Edison Hotel - 228 West 47th Street, Manhattan, New York City, New York, USA ': ['40.759683', '-73.98635'], 'Jersey City, New Jersey, USA ': ['40.72815749999999', '-74.07764170000002'], 'Manhattan, New York City, New York, USA ': ['40.790278', '-73.959722'], 'New York County Courthouse - 60 Centre Street, New York City, New York, USA ': ['40.714453', '-74.002198'], 'Queens, New York City, New York, USA ': ['40.75', '-73.866667'], 'Riverdale, Bronx, New York City, New York, USA ': ['40.899618', '-73.908828'], 'NYC Health + Hospitals / Bellevue, 462 1st Avenue, New York, NY 10016, United States ': ['40.739687', '-73.976204'], 'Mineola, Long Island, New York, USA ': ['40.7492678', '-73.6406845'], 'Long Beach, Long Island, New York, USA ': ['40.5884373', '-73.65790800000002'], 'Long Island, New York, USA ': ['40.7891424', '-73.1349605'], 'New York City, New York, USA ': ['40.7127837', '-74.0059413'], 'Hollywood, Los Angeles, California, USA ': ['34.0928092', '-118.32866139999999'], 'Royce Hall - 340 Royce Drive, UCLA, Westwood, Los Angeles, California, USA ': ['34.072855', '-118.442177'], 'Falaise Museum, 127 Middle Neck Rd, Sands Point, New York, USA ': ['40.860985', '-73.689319']}"
t0468569,The Dark Knight,"{'Chicago, Illinois, USA ': ['41.8781136', '-87.6297982'], 'Times Square, Causeway Bay, Hong Kong ': ['22.278151', '114.182114'], 'Battersea Power Station, Battersea, London, England, UK ': ['51.48202', '-0.144491'], 'Twin Anchors Restaurant & Tavern - 1655 N. Sedgwick Street, Lincoln Park, Chicago, Illinois, USA ': ['41.912724', '-87.638422'], 'Millennium Station, Chicago, Illinois, USA ': ['41.88434', '-87.624635'], 'Old Post Office, Chicago, Illinois, USA ': ['41.876623', '-87.638394'], ""Brach's Candy Factory - 401 N. Cicero Street, Chicago, Illinois, USA "": ['41.889519', '-87.742614'], 'IBM Building - 330 N Wabash, Chicago, Illinois, USA ': ['41.888456', '-87.627565'], 'Los Angeles, California, USA ': ['34.0522342', '-118.2436849'], 'Lower Wacker Drive, Downtown, Chicago, Illinois, USA ': ['41.881402', '-87.63682'], 'South LaSalle St., Chicago, Illinois, USA ': ['41.827319', '-87.62974'], 'Atwood Cafe - 1 W Washington St, Chicago, Illinois, USA ': ['41.883044', '-87.628181'], 'McCormick Place - 2301 S. Lake Shore Drive, Near South Side, Chicago, Illinois, USA ': ['41.851229', '-87.617034'], 'Hong Kong, China ': ['22.396428', '114.10949700000003'], 'Piccadilly Circus, Piccadilly, London, England, UK ': ['51.509875', '-0.13485'], 'Richard J. Daley Center - 55 W. Randolph Street, The Loop, Downtown, Chicago, Illinois, USA ': ['41.884085', '-87.630187'], 'Senate House, University College London, Malet Street, Bloomsbury, London, England, UK ': ['51.520809', '-0.12849'], 'N Franklin Street, Chicago, Illinois, USA ': ['41.890869', '-87.635574'], 'Hotel 71 - 71 E. Wacker Drive, Downtown, Chicago, Illinois, USA ': ['41.887394', '-87.625694'], 'Pinewood Studios, Iver Heath, Buckinghamshire, England, UK ': ['51.548788', '-0.532241'], ""Queen's Road Central, Central, Hong Kong, China "": ['22.282826', '114.155706'], 'Victoria Harbour, Hong Kong, China ': ['22.279636', '114.165487'], 'Bedford, Bedfordshire, England, UK ': ['52.135974', '-0.466656'], 'University of Westminster, London, England, UK ': ['51.5073509', '-0.1277583'], 'Chertsey, Surrey, England, UK ': ['51.386491', '-0.509456'], 'Old Town, Near North Side, Chicago, Illinois, USA ': ['41.904225', '-87.63789'], 'Trump International Hotel & Tower - 401 N Wabash, Chicago, Illinois, USA ': ['41.888916', '-87.626429'], 'Twickenham, Middlesex, England, UK ': ['51.444581', '-0.335246'], 'George Farmiloe Building - 28-36 St John Street, Clerkenwell, London, England, UK ': ['51.520829', '-0.101684'], '2 International Finance Centre, Central, Hong Kong, China ': ['22.285', '114.159167'], 'Cardington Airship Hangars, Bedfordshire, England, UK ': ['52.109389', '-0.422906'], 'Navy Pier - 600 E. Grand Avenue, Near North Side, Chicago, Illinois, USA ': ['41.891703', '-87.608643'], ""Criterion Theatre, Jermyn Street, St James's, London, England, UK "": ['51.509727', '-0.13427'], 'London, England, UK ': ['51.5073509', '-0.1277583'], 'The Center, Central, Hong Kong, China ': ['22.284609', '114.15474'], 'The Peninsula Hong Kong, Salisbury Road, Tsim Sha Tsui, Kowloon, Hong Kong, China ': ['22.294762', '114.172'], 'St John Street, Clerkenwell, London, England, UK ': ['51.525834', '-0.104013'], '230 S LaSelle St, Chicago, Illinois, USA ': ['41.878548', '-87.632867'], 'Leavesden Studios, Leavesden, Hertfordshire, England, UK ': ['51.692976', '-0.417185'], 'Longcross, Surrey, England, UK ': ['51.378499', '-0.579564']}"
t0071562,The Godfather Part II,"{'Kaiser Estate, 4000 W Lake Blvd, Homewood, Lake Tahoe, California, USA ': ['39.102784', '-120.163043'], 'Trieste, Friuli-Venezia Giulia, Italy ': ['45.6495264', '13.77681819999998'], 'El Embajador Hotel, Santo Domingo, Dominican Republic ': ['18.454838', '-69.933442'], 'Santo Domingo, Dominican Republic ': ['18.466667', '-69.94999999999999'], ""Forza d'Agrò, Messina, Sicily, Italy "": ['37.915073', '15.334769'], 'Calle Duarte, Santo Domingo, Dominican Republic ': ['18.474589', '-69.886389'], 'Lake Tahoe, California, USA ': ['39.0968493', '-120.0323507'], 'via Vecchia Pozzillo, Acireale, Catania, Italy ': ['37.661692', '15.173656'], 'Riva Nazario Sauro, Trieste, Friuli-Venezia Giulia, Italy ': ['45.648197', '13.763063'], 'Sicily, Italy ': ['37.599994', '14.015356'], '6th Street, Manhattan, New York City, New York, USA ': ['40.725191', '-73.983298'], 'Miami, Florida, USA ': ['25.7616798', '-80.1917902'], '538 E. 6th. Street, Manhattan, New York City, New York, USA ': ['40.72459', '-73.982245'], 'Train Station Sparagogna, Regalbuto, Enna, Sicily, Italy ': ['37.650008', '14.640257'], 'Calle Hostos, Santo Domingo, Dominican Republic ': ['18.473389', '-69.885309'], 'Avenida Duarte, Santo Domingo, Dominican Republic ': ['18.494026', '-69.89988'], 'Avenida Mella, Santo Domingo, Dominican Republic ': ['18.476541', '-69.888779'], 'East Village, Manhattan, New York City, New York, USA ': ['40.726477', '-73.981534'], 'Greenwich Village, Manhattan, New York City, New York, USA ': ['40.733572', '-74.002742'], 'Las Vegas, Nevada, USA ': ['36.1699412', '-115.1398296'], 'Manhattan, New York City, New York, USA ': ['40.790278', '-73.959722'], ""Vazac's Bar - 108 Avenue B, East Village, Manhattan, New York City, New York, USA "": ['40.725054', '-73.981414'], 'New York City, New York, USA ': ['40.7127837', '-74.0059413'], 'via Vecchia Pozzillo, Acireale, Catania ': ['37.661692', '15.173656'], 'Hospital Padre Billini, Santo Domingo, Dominican Republic ': ['18.471191', '-69.889134'], 'Parque Independencia, Santo Domingo, Dominican Republic ': ['18.471297', '-69.891941'], 'Palacio Nacional, Santo Domingo, Dominican Republic ': ['18.474506', '-69.897893'], 'Hotel Washington - 515 15th Street, Washington, District of Columbia, USA ': ['38.897006', '-77.033425'], ""Tomkin's Square, Greenwich Village, Manhattan, New York City, New York, USA "": ['40.733572', '-74.002742'], '2045 N. Hibiscus Drive, North Miami, Florida, USA ': ['25.894244', '-80.156574'], 'Teatro de Agua y Luz, Santo Domingo, Dominican Republic ': ['18.445523', '-69.926373'], 'Los Angeles, California, USA ': ['34.0522342', '-118.2436849'], 'Club Náutico de Santo Domingo, Andrés, Santo Domingo Este, Dominican Republic ': ['18.510425', '-69.840405'], 'Biblioteca Nacional Pedro Henríquez Ureña, Santo Domingo, Dominican Republic ': ['18.470306', '-69.907739']}"
t0050083,12 Angry Men,"{'New York County Courthouse - 60 Centre Street, New York City, New York, USA ': ['40.714453', '-74.002198'], 'Fox Movietone Studio, New York, USA ': ['40.821157', '-73.893883'], 'New York City, New York, USA ': ['40.7127837', '-74.0059413'], 'New York, USA ': ['40.7127837', '-74.0059413'], 'USA ': ['44.427963', '-110.58845500000001']}"
t0108052,Schindler's List,"{'Auschwitz-Birkenau Concentration Camp, Oswiecim, Malopolskie, Poland ': ['50.0274106', '19.2019829'], 'Most Pilsudskiego, Kraków, Malopolskie, Poland ': ['50.045415', '19.945019'], 'Plaszów, Kraków, Malopolskie, Poland ': ['50.040766', '19.983287'], 'Szeroka, Kraków, Malopolskie, Poland ': ['50.052621', '19.947938'], 'Kraków, Malopolskie, Poland ': ['50.0646501', '19.9449799'], 'Józefa, Kraków, Malopolskie, Poland ': ['50.050922', '19.94585'], 'Poland ': ['51.919438', '19.14513599999998'], 'Jerusalem, Israel ': ['31.768319', '35.21370999999999'], 'Israel ': ['31.046051', '34.85161199999993']}"
t0167260,The Lord of the Rings: The Return of the King,"{'Hinuera Valley, Matamata, Waikato, New Zealand ': ['-37.852759', '175.758303'], 'Fernside, Featherston, Wairarapa, New Zealand ': ['-41.103851', '175.365003'], 'Queenstown, Otago, New Zealand ': ['-45.031162', '168.662644'], 'Camperdown Studios, Camperdown Road, Miramar, Wellington, New Zealand ': ['-41.306773', '174.825341'], 'Mt. Potts Station, Erewhon, Canterbury, New Zealand ': ['-43.56171', '170.935021'], 'Dry Creek Quarry, Wellington, New Zealand ': ['-41.2864603', '174.77623600000004'], 'Tongariro National Park, Central Plateau, New Zealand ': ['-39.041455', '175.733648'], 'Twizel, Canterbury, New Zealand ': ['-44.259901', '170.104294'], 'Deer Park Heights, Queenstown, Otago, New Zealand ': ['-45.039044', '168.695815'], 'Rangipo Desert, Waiouru, Tongariro National Park, Central Plateau, New Zealand ': ['-39.242422', '175.73086'], 'Milford Sound, Fiordland National Park, Southland, New Zealand ': ['-44.641402', '167.89738'], 'Paradise, Glenorchy, Otago, New Zealand ': ['-44.730783', '168.380287'], 'Upper Hutt, Wellington, New Zealand ': ['-41.1244327', '175.0707834'], 'Mount Ruapehu, Tongariro National Park, Central Plateau, New Zealand ': ['-39.281721', '175.56851'], 'Stone Street Studios, Stone Street, Miramar, Wellington, New Zealand ': ['-41.318229', '174.813424'], 'Putangirua Pinnacles, Wairarapa region, North Island, New Zealand ': ['-41.445538', '175.247957'], 'Central Plateau, New Zealand ': ['-39.041455', '175.733648'], 'Wellington, New Zealand ': ['-41.2864603', '174.77623600000004'], 'Otago, New Zealand ': ['-44.828004', '169.634525'], 'Canterbury, New Zealand ': ['-43.754228', '171.163724'], 'Glenorchy, Otago, New Zealand ': ['-44.85055', '168.388197'], 'Fiordland National Park, Southland, New Zealand ': ['-45.462944', '167.542202'], 'Southland, New Zealand ': ['-45.848916', '167.675539'], 'North Island, New Zealand ': ['-39.237837', '175.602364'], 'Erewhon, Canterbury, New Zealand ': ['-43.754228', '171.163724'], 'Matamata, Waikato, New Zealand ': ['-37.8108803', '175.77646070000003'], 'Waikato, New Zealand ': ['-37.455799', '175.189405'], 'New Zealand ': ['-40.900557', '174.88597100000004']}"
t0110912,Pulp Fiction,"{'1435 Flower Street, Glendale, California, USA ': ['34.162957', '-118.290209'], 'Hawthorne Grill - 13763 S. Hawthorne Boulevard, Hawthorne, California, USA ': ['33.906829', '-118.353149'], '3519 La Clede Avenue, Los Angeles, California, USA ': ['34.119689', '-118.257171'], '20933 Roscoe Blvd, Canoga Park, Los Angeles, California, USA ': ['34.220734', '-118.589584'], '5800 Harold Way, Los Angeles, California, USA ': ['34.098833', '-118.316216'], 'A & R Auto Dismantlers - 12143 Branford Street, Sun Valley, California, USA ': ['34.252419', '-118.397751'], 'River Glen Motel - 2934 Riverside Drive, Los Angeles, California, USA ': ['34.111047', '-118.26585'], '11827 Valerio Street, North Hollywood, California, USA ': ['34.205095', '-118.391184'], 'Atwater Avenue And Fletcher Drive, Los Angeles, California, USA ': ['34.111103', '-118.250532'], '11813 Runnymede Street, North Hollywood, California, USA ': ['34.205922', '-118.391186'], '4149 Kraft Avenue, Studio City, Los Angeles, California, USA ': ['34.14395', '-118.380369'], 'Kendall Alley, Pasadena, California, USA ': ['34.146875', '-118.149491'], 'Raymond Theatre - 129 N. Raymond Avenue, Pasadena, California, USA ': ['34.148121', '-118.149106'], 'Hawthorne, California, USA ': ['33.9164032', '-118.35257480000001'], '1541 Summitridge Dr, Beverly Hills, California, USA ': ['34.099162', '-118.420828'], 'Riverside Dr. & Glendale Blvd., Silver Lake, Los Angeles, California, USA ': ['34.111014', '-118.264958'], 'Los Angeles, California, USA ': ['34.0522342', '-118.2436849'], 'Beverly Hills, California, USA ': ['34.0736204', '-118.4003563'], 'North Hollywood, Los Angeles, California, USA ': ['34.187044', '-118.3812562'], '12000 block of Branford St, Sun Valley, Los Angeles, California, USA ': ['34.252944', '-118.396787'], '2760 Fletcher Drive Los Angeles, California, USA ': ['34.111064', '-118.25027']}"
t0120737,The Lord of the Rings: The Fellowship of the Ring,"{'Wellington, New Zealand ': ['-41.2864603', '174.77623600000004'], 'Hinuera Valley, Matamata, Waikato, New Zealand ': ['-37.852759', '175.758303'], 'Kaitoke Regional Park, Wellington Region, New Zealand ': ['-41.0675', '175.197222'], 'Queenstown, Otago, New Zealand ': ['-45.031162', '168.662644'], 'Fernside, Featherston, Wairarapa, New Zealand ': ['-41.103851', '175.365003'], 'Milford Sound, Fiordland National Park, Southland, New Zealand ': ['-44.641402', '167.89738'], 'Port Waikato, Waikato, New Zealand ': ['-37.3902', '174.728766'], 'Rangipo Desert, Waiouru, Tongariro National Park, Central Plateau, New Zealand ': ['-39.242422', '175.73086'], 'Rangitikei River, Manawatu-Wanganui, New Zealand ': ['-40.000942', '175.581725'], 'Lake Wakatipu, Queenstown, Otago, New Zealand ': ['-45.090796', '168.547472'], 'Tongariro National Park, Central Plateau, New Zealand ': ['-39.041455', '175.733648'], 'Mavora Lakes, Southland, New Zealand ': ['-45.220181', '168.170032'], 'Tarras, Wanaka, Otago, New Zealand ': ['-44.694299', '169.141736'], 'Canterbury, New Zealand ': ['-43.754228', '171.163724'], ""Poet's Corner, Upper Hutt, Wellington, New Zealand "": ['-41.1244327', '175.0707834'], 'South Island, New Zealand ': ['-45.152671', '169.892633'], 'Harcourt Park, Upper Hutt, Wellington, New Zealand ': ['-41.102149', '175.093489'], 'Upper Hutt, Wellington, New Zealand ': ['-41.1244327', '175.0707834'], 'Camperdown Studios, Camperdown Road, Miramar, Wellington, New Zealand ': ['-41.306773', '174.825341'], 'Twizel, Canterbury, New Zealand ': ['-44.259901', '170.104294'], 'Arrowtown Recreational Reserve, Arrowtown, Otago, New Zealand ': ['-44.941688', '168.835862'], 'Te Anau, Southland District, Southland, New Zealand ': ['-45.414452', '167.718053'], 'Paradise, Glenorchy, Otago, New Zealand ': ['-44.730783', '168.380287'], 'Lake Alta, The Remarkables, Nelson, South Island, New Zealand ': ['-41.270632', '173.283965'], 'Closeburn, Southern Lakes, South Island, New Zealand ': ['-45.0607', '168.568373'], 'Abel Tasman National Park, South Island, Tasman Region, New Zealand ': ['-40.934685', '172.972155'], 'Otaki Gorge Road, Kapiti Coast District, North Island, New Zealand ': ['-40.82221', '175.19481'], 'Takaka Hill, Nelson, South Island, New Zealand ': ['-41.020404', '172.895035'], 'Kepler Mire, Te Anau, South Island, New Zealand ': ['-45.507613', '167.700227'], 'Mount Owen, Tasman district, Nelson, South Island, New Zealand ': ['-41.551667', '172.540833'], 'Fort Dorset, Miramar, Wellington, New Zealand ': ['-41.328972', '174.835992'], 'Hutt Valley, Wellington, New Zealand ': ['-41.2864603', '174.77623600000004'], 'Whakapapa Skifield, Mount Ruapehu, Tongariro National Park, New Zealand ': ['-39.236897', '175.556667'], 'Keeling Farm, Manakau, Horowhenua District, North Island, New Zealand ': ['-40.715327', '175.216486'], 'Waitarere Forest, Horowhenua District, North Island, New Zealand ': ['-40.562597', '175.240124'], 'Mount Olympus, Nelson, South Island, New Zealand ': ['-41.270632', '173.283965'], 'Upper Waiau River, Fiordland National Park, South Island, New Zealand ': ['-45.88162', '167.675716'], 'Matamata, Waikato, New Zealand ': ['-37.8108803', '175.77646070000003'], 'Waikato, New Zealand ': ['-37.455799', '175.189405'], 'Glenorchy, Otago, New Zealand ': ['-44.85055', '168.388197'], 'Arrowtown, Otago, New Zealand ': ['-44.941688', '168.835862'], 'Wanaka, Otago, New Zealand ': ['-44.694299', '169.141736'], 'Otago, New Zealand ': ['-44.828004', '169.634525'], 'Manawatu-Wanganui, New Zealand ': ['-39.9300887', '175.0478901'], 'Fiordland National Park, South Island, New Zealand ': ['-45.462944', '167.542202'], 'Southland District, Southland, New Zealand ': ['-45.848916', '167.675539'], 'Southland, New Zealand ': ['-45.848916', '167.675539'], 'New Zealand ': ['-40.900557', '174.88597100000004']}"
